hospital_id,hpid,previous_hpid,duty_name_live,er_phone_live,requested_stage1,requested_district,fetched_at,hvidate_raw,available_er_beds,available_operating_rooms,available_neuro_icu_beds,available_neonatal_icu_beds,available_thoracic_icu_beds,available_general_icu_beds,available_inpatient_beds,available_internal_medicine_icu_beds,available_surgical_icu_beds,available_orthopedic_inpatient_beds,available_neurology_inpatient_beds,available_neurosurgery_icu_beds,available_drug_intoxication_icu_beds,available_burn_icu_beds,available_trauma_icu_beds,ct_available_live,mri_available_live,angiography_available_live,ventilator_available_live,ambulance_available_live,pediatric_ventilator_available_live,incubator_available_live,live_congestion_score,live_congestion_level,live_congestion_penalty,capacity_source,active_in_hospital_master
A1100011,A1100011,A1100011,가톨릭대학교여의도성모병원,02-3779-1199,서울특별시,영등포구,2026-05-18T14:53:42.486Z,20260518235011,11,13,,,,,29,2,2,,,1,,,,true,true,true,true,true,,,0.1,low,10,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1121013,A1121013,A1121013,가톨릭대학교은평성모병원,02-1811-7755,서울특별시,은평구,2026-05-18T14:53:42.486Z,20260518235012,8,19,,4,,,109,0,0,,,0,,,,true,true,true,true,true,true,true,0.1,low,10,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100043,A1100043,A1100043,강동경희대학교병원,02-440-7000,서울특별시,강동구,2026-05-18T14:53:42.486Z,20260518235016,5,17,,1,,5,144,,,,,,,,,true,true,true,true,true,true,true,0.4,medium,40,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100006,A1100006,A1100006,강북삼성병원,02-2001-1000,서울특별시,종로구,2026-05-18T14:53:42.486Z,20260518235029,6,16,,-2,0,1,14,,0,,,1,,,,true,true,true,true,true,true,true,0.1,low,10,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100002,A1100002,A1100002,건국대학교병원,02-2030-5555,서울특별시,광진구,2026-05-18T14:53:42.486Z,20260518234715,13,20,,0,,,79,5,2,,,,,,,true,true,true,true,true,true,true,0.1,low,10,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100039,A1100039,A1100039,경찰병원,02-3400-1300,서울특별시,송파구,2026-05-18T14:53:42.486Z,20260518235003,3,7,,,,13,128,,,,,,,,,true,true,,true,true,,,0.4,medium,40,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100001,A1100001,A1100001,경희대학교병원,02-958-8114,서울특별시,동대문구,2026-05-18T14:53:42.486Z,20260518235029,8,16,,2,,31,90,,,,,0,,,,true,true,true,true,true,true,true,0.1,low,10,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100014,A1100014,A1100014,고려대학교의과대학부속구로병원,02-2626-1550,서울특별시,구로구,2026-05-18T14:53:42.486Z,20260518234625,4,24,,0,,4,34,0,5,,,,,,,true,true,true,true,true,true,true,0.4,medium,40,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100026,A1100026,A1100026,구로성심병원,02-2067-1515,서울특별시,구로구,2026-05-18T14:53:42.486Z,20260518234856,4,3,,,,2,39,,,,,,,,,true,true,,true,true,,,0.4,medium,40,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100052,A1100052,A1100052,국립중앙의료원,02-2276-2114,서울특별시,중구,2026-05-18T14:53:42.486Z,20260518234904,9,6,,,,2,0,,0,,,,,,1,true,true,true,true,true,false,true,0.1,low,10,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1122033,A1122033,A1122033,기쁨병원,02-570-1212,서울특별시,서초구,2026-05-18T14:53:42.486Z,20260518235017,2,8,,,,,46,,,,,,,,,true,true,true,true,true,,,0.7,high,70,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100048,A1100048,A1100048,노원을지대학교병원,02-970-8282,서울특별시,노원구,2026-05-18T14:53:42.486Z,20260518234602,8,11,,1,,,175,2,7,,,,,,,true,true,true,true,true,true,true,0.1,low,10,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100044,A1100044,A1100044,녹색병원,02-490-2113,서울특별시,중랑구,2026-05-18T14:53:42.486Z,20260518235003,2,3,,,,7,77,,,,,,,,,true,true,,true,true,,,0.7,high,70,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100037,A1100037,A1100037,대림성모병원,02-829-9129,서울특별시,영등포구,2026-05-18T14:53:42.486Z,20260518234633,6,4,,,,,34,,,,,,,,,true,true,,true,true,,,0.1,low,10,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100024,A1100024,A1100024,명지성모병원,02-829-7800,서울특별시,영등포구,2026-05-18T14:53:42.486Z,20260518234951,5,3,,,,7,65,,,,,,,,,true,true,true,true,true,,,0.4,medium,40,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100036,A1100036,A1100036,부민병원,02-2620-0119,서울특별시,강서구,2026-05-18T14:53:42.486Z,20260518235034,7,7,,,,1,53,,,,,,,,,true,true,true,true,true,,true,0.1,low,10,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100010,A1100010,A1100010,삼성서울병원,02-3410-2060,서울특별시,강남구,2026-05-18T14:53:42.486Z,20260518234658,-15,49,,2,4,14,97,3,12,,,2,,,,true,true,true,true,true,true,true,1,full,100,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100021,A1100021,A1100021,삼육서울병원,02-2210-3566,서울특별시,동대문구,2026-05-18T14:53:42.486Z,20260518234802,9,5,,4,,2,93,,,,,,,,,true,true,true,true,true,,false,0.1,low,10,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100017,A1100017,A1100017,서울대학교병원,02-2072-2475,서울특별시,종로구,2026-05-18T14:53:42.486Z,20260518235009,-6,52,6,11,0,,73,1,8,,,1,,,,true,true,true,true,true,true,true,1,full,100,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100050,A1100050,A1100050,서울성심병원,02-966-1616,서울특별시,동대문구,2026-05-18T14:53:42.486Z,20260518234926,15,6,,,,8,68,,,,,,,,,true,true,,true,true,,,0.1,low,10,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100029,A1100029,A1100029,서울적십자병원,02-2002-8888,서울특별시,종로구,2026-05-18T14:53:42.486Z,20260518235002,8,6,,,,7,95,,,,,,,,,true,true,,true,true,,,0.1,low,10,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100022,A1100022,A1100022,서울특별시동부병원,02-920-9119,서울특별시,동대문구,2026-05-18T14:53:42.486Z,20260518235020,8,3,,,,2,33,,,,,,,,,true,true,,true,true,,true,0.1,low,10,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100040,A1100040,A1100040,서울특별시보라매병원,02-870-2119,서울특별시,동작구,2026-05-18T14:53:42.486Z,20260518235000,8,14,,3,,,157,4,8,,,,,,,true,true,true,true,true,true,true,0.1,low,10,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100223,A1100223,A1100223,서울특별시서남병원,02-6300-9129,서울특별시,양천구,2026-05-18T14:53:42.486Z,20260518235000,6,4,,,,3,28,,,,,,,,,true,true,,true,true,,,0.1,low,10,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
