hospital_id,hpid,hospital_name,address,district,lat,lon,emergency_level_raw,emergency_level_code,current_emergency_level_raw,emergency_level_model,emergency_level_rank,hospital_type_raw,er_phone,representative_phone,er_open_static,is_designated_emergency_medical_institution,current_egen_present,current_egen_updated_at,current_egen_operationyn,current_egen_silson24_chk,or_candidate_active,source_primary,source_crosscheck,source_last_checked_at,source_work_dttm
A1100011,A1100011,가톨릭대학교여의도성모병원,"서울특별시 영등포구 63로 10, 여의도성모병원 (여의도동)",영등포구,37.51827233800711,126.93673129599131,지역응급의료센터,G006,지역응급의료센터,local_center_or_above,2,종합병원,02-3779-1199,02-1661-7575,true,true,true,20260205160631,N,Y,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:06.000Z
A1121013,A1121013,가톨릭대학교은평성모병원,서울특별시 은평구 통일로 1021 (진관동),은평구,37.633608409726854,126.91615048739686,지역응급의료센터,G006,지역응급의료센터,local_center_or_above,2,종합병원,02-1811-7755,02-1811-7755,true,true,true,20250813110059,N,Y,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:06.000Z
A1100047,A1100047,강남고려병원,서울특별시 관악구 관악로 242 (봉천동),관악구,37.4856188363947,126.956781703053,응급실운영신고기관,G009,응급의료기관 외의 의료기관(응급의료시설),emergency_institution_ok,1,병원,02-874-7227,1661-8267,true,false,true,20260511173200,N,N,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:06.000Z
A1100141,A1100141,강남베드로병원,"서울특별시 강남구 남부순환로 2649, 베드로병원 (도곡동)",강남구,37.485612179925724,127.0395873429168,응급실운영신고기관,G009,응급의료기관 외의 의료기관(응급의료시설),emergency_institution_ok,1,종합병원,1544-7522,1544-7522,true,false,true,20260311142633,Y,Y,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:06.000Z
A1100076,A1100076,강남힐병원,"서울특별시 관악구 남부순환로 1449, 강남힐병원 (신림동)",관악구,37.4816513439454,126.911648078471,응급실운영신고기관,G009,응급의료기관 외의 의료기관(응급의료시설),emergency_institution_ok,1,병원,02-853-9100,02-853-4600,true,false,true,20260428133157,N,N,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:06.000Z
A1100043,A1100043,강동경희대학교병원,서울특별시 강동구 동남로 892 (상일동),강동구,37.5520459324005,127.157084787845,권역응급의료센터,G001,권역응급의료센터,regional_center,3,종합병원,02-440-7000,02-440-7114,true,true,true,20260511173200,N,Y,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:06.000Z
A1100006,A1100006,강북삼성병원,서울특별시 종로구 새문안로 29 (평동),종로구,37.568497631233825,126.96793805451702,지역응급의료센터,G006,지역응급의료센터,local_center_or_above,2,종합병원,02-2001-1000,02-2001-2001,true,true,true,20260311142633,N,Y,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:06.000Z
A1121842,A1121842,강북으뜸병원,"서울특별시 강북구 도봉로 187, 지하1층, 지상1층~지상5층 (미아동)",강북구,37.6254205559935,127.026184524499,응급실운영신고기관,G009,응급의료기관 외의 의료기관(응급의료시설),emergency_institution_ok,1,병원,02-986-0334,02-986-0334,true,false,true,20260422090324,N,N,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:06.000Z
A1117285,A1117285,강서케이병원,"서울특별시 강서구 가로공원로 187, 강서케이병원 (화곡동)",강서구,37.5373576230977,126.836699017573,응급실운영신고기관,G009,응급의료기관 외의 의료기관(응급의료시설),emergency_institution_ok,1,병원,02-6905-8585,02-1833-7530,true,false,true,20250124154825,N,Y,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:07.000Z
A1125429,A1125429,강철병원,"서울특별시 송파구 백제고분로 252, SH타워 2~8층 (삼전동)",송파구,37.50234558341771,127.09429683872202,응급실운영신고기관,G009,응급의료기관 외의 의료기관(응급의료시설),emergency_institution_ok,1,병원,02-6287-5500,02-6287-5500,true,false,true,20260122132610,N,N,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:07.000Z
